 ('D3', 860139, 'i', '06AL01', '2006-07-27', 3, 'Problem', 'Problem', 'Problem', '', 1463123104.92457, 'No', 'No', 'not ok')
 ('D3', 860139, 'i', '06AL01', '2006-07-27', 13, 'Problem', 'Problem', 'Problem', '', 1463058320.5357947, 'No', 'No', 'not ok')
 ('D3', 860139, 'i', '06AL01', '2006-07-27', 22, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123129.770911, 'No', 'No', 'not ok')
 ('D3', 891280, 'i', '06BL01', '2007-01-26', 0, '847 sources', 'Problem', 'Problem', 'Unable to match sources', 1461747262.6350994, 'No', 'No', 'not ok')
 ('D3', 896679, 'i', '07AL01', '2007-02-20', 14, 'Problem', 'Problem', 'Problem', 'Problem', 1463041473.410993, 'No', 'No', 'not ok')
 ('D3', 896679, 'i', '07AL01', '2007-02-20', 24, 'Problem', 'Problem', 'Problem', 'Problem', 1463058052.7123823, 'No', 'No', 'not ok')
 ('D3', 912465, 'i', '07AL01', '2007-05-14', 3, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123013.3917239, 'No', 'No', 'not ok')
 ('D3', 912465, 'i', '07AL01', '2007-05-14', 13, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123097.395971, 'No', 'No', 'not ok')
 ('D3', 917820, 'i', '07AL01', '2007-05-31', 17, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123000.0237186, 'No', 'No', 'not ok')
 ('D3', 918714, 'i', '07AL01', '2007-06-08', 17, 'Problem', 'Problem', 'Problem', 'Problem', 1463058070.059969, 'No', 'No', 'not ok')
 ('D3', 918718, 'i', '07AL01', '2007-06-08', 17, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123819.502478, 'No', 'No', 'not ok')
 ('D3', 919551, 'i', '07AL01', '2007-06-15', 2, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123022.6778035, 'No', 'No', 'not ok')
 ('D3', 919551, 'i', '07AL01', '2007-06-15', 10, 'Problem', 'Problem', 'Problem', 'Problem', 1463057779.7636373, 'No', 'No', 'not ok')
 ('D3', 919551, 'i', '07AL01', '2007-06-15', 19, 'Problem', 'Problem', 'Problem', '', 1463058110.8674862, 'No', 'No', 'not ok')
 ('D3', 919551, 'i', '07AL01', '2007-06-15', 27, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463041768.6993916, 'No', 'No', 'not ok')
 ('D3', 919552, 'i', '07AL01', '2007-06-15', 1, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123079.0623634, 'No', 'No', 'not ok')
