 ('D3', 795898, 'z', '05AL01', '2005-05-29', 33, '614 sources', '0.034 +- 0.015 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 34, '661 sources', '0.043 +- 0.021 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 35, '599 sources', '0.029 +- 0.016 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 796738, 'z', '05AL01', '2005-06-06', 8, '4267 sources', '0.000 +- 0.000 arcsec', 'Problem', 'All matches eliminated by source flags', 1461855563.4610472, 'No', 'No', 'not ok')
 ('D3', 800853, 'z', '05AL01', '2005-06-30', 10, 'Problem', 'Problem', 'Problem', '', 1461914498.6058562, 'No', 'No', 'not ok')
 ('D3', 802233, 'z', '05AL01', '2005-07-07', 34, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123081.5900173, 'No', 'No', 'not ok')
 ('D3', 802236, 'z', '05AL01', '2005-07-07', 5, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123265.2690902, 'No', 'No', 'not ok')
 ('D3', 802236, 'z', '05AL01', '2005-07-07', 15, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123350.3072674, 'No', 'No', 'not ok')
 ('D3', 802236, 'z', '05AL01', '2005-07-07', 21, 'Problem', 'Problem', 'Problem', 'Problem', 1463058282.868758, 'No', 'No', 'not ok')
 ('D3', 802236, 'z', '05AL01', '2005-07-07', 25, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123272.5459394, 'No', 'No', 'not ok')
 ('D3', 802236, 'z', '05AL01', '2005-07-07', 29, 'Problem', 'Problem', 'Problem', 'Problem', 1463058081.0413582, 'No', 'No', 'not ok')
 ('D3', 802236, 'z', '05AL01', '2005-07-07', 35, 'Problem', 'Problem', 'Problem', '', 1463123092.238054, 'No', 'No', 'not ok')
 ('D3', 889370, 'z', '06BL01', '2007-01-14', 5, 'Problem', 'Problem', 'Problem', 'Problem', 1462979533.661428, 'No', 'No', 'not ok')
 ('D3', 890463, 'z', '06BL01', '2007-01-21', 5, 'Problem', 'Problem', 'Problem', '', 1463122932.4180484, 'No', 'No', 'not ok')
 ('D3', 900295, 'z', '07AL01', '2007-03-27', 14, 'Problem', 'Problem', 'Problem', 'Problem', 1463058036.8544738, 'No', 'No', 'not ok')
 ('D3', 900295, 'z', '07AL01', '2007-03-27', 24, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123038.3345265, 'No', 'No', 'not ok')
 ('D3', 900295, 'z', '07AL01', '2007-03-27', 34, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463122970.6787765, 'No', 'No', 'not ok')
 ('D3', 904917, 'z', '07AL01', '2007-04-07', 17, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463122836.451491, 'No', 'No', 'not ok')
 ('D3', 967507, 'z', '08AL01', '2008-02-12', 34, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463123105.194623, 'No', 'No', 'not ok')
 ('D3', 967861, 'z', '08AL01', '2008-02-15', 29, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463122925.5896983, 'No', 'No', 'not ok')
 ('D3', 982270, 'z', '08AL01', '2008-04-14', 21, 'Problem', 'Problem', 'Problem', '', 1463057877.8878582, 'No', 'No', 'not ok')
 ('D3', 982270, 'z', '08AL01', '2008-04-14', 29, 'Problem', 'Problem', 'Problem', '', 1463122953.6752756, 'No', 'No', 'not ok')
